country_region,sub_region,date,days,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,,,
United Kingdom,Bath and North East Somerset,15/02/2020,0,-13,-10,-48,-10,1,3,,,
United Kingdom,Bath and North East Somerset,43877,1,-2,-3,-26,2,-3,,,,
United Kingdom,Bath and North East Somerset,43878,2,22,2,32,7,-9,1,,,sub_region
United Kingdom,Bath and North East Somerset,43879,3,26,1,38,12,-9,1,,,Bath and North East Somerset
United Kingdom,Bath and North East Somerset,43880,4,22,0,32,6,-11,2,,,Bedford
United Kingdom,Bath and North East Somerset,43881,5,16,2,17,4,-10,2,,,Blackburn with Darwen
United Kingdom,Bath and North East Somerset,43882,6,15,-1,37,8,-14,2,,,Blackpool
United Kingdom,Bath and North East Somerset,43883,7,11,-1,-4,16,3,-1,,,Borough of Halton
United Kingdom,Bath and North East Somerset,43884,8,6,1,-2,15,2,,,,Bracknell Forest
United Kingdom,Bath and North East Somerset,43885,9,-4,0,-14,2,3,1,,,Brighton and Hove
United Kingdom,Bath and North East Somerset,43886,10,1,2,-1,10,7,0,,,Bristol City
United Kingdom,Bath and North East Somerset,43887,11,7,0,14,5,4,0,,,Buckinghamshire
United Kingdom,Bath and North East Somerset,43888,12,2,3,10,6,6,0,,,Cambridgeshire
United Kingdom,Bath and North East Somerset,43889,13,-3,0,-23,11,4,1,,,Central Bedfordshire
United Kingdom,Bath and North East Somerset,43890,14,2,3,-31,7,5,0,,,Cheshire East
United Kingdom,Bath and North East Somerset,43891,15,19,6,30,31,5,-1,,,Cheshire West and Chester
United Kingdom,Bath and North East Somerset,43892,16,6,3,12,6,5,0,,,Cornwall
United Kingdom,Bath and North East Somerset,43893,17,12,3,14,8,6,-1,,,County Durham
United Kingdom,Bath and North East Somerset,43894,18,0,0,-11,1,4,1,,,Cumbria
United Kingdom,Bath and North East Somerset,43895,19,-2,7,-8,3,5,1,,,Darlington
United Kingdom,Bath and North East Somerset,43896,20,3,5,28,8,6,0,,,Derby
United Kingdom,Bath and North East Somerset,43897,21,2,4,4,11,8,-1,,,Derbyshire
United Kingdom,Bath and North East Somerset,43898,22,4,3,8,16,4,-1,,,Devon
United Kingdom,Bath and North East Somerset,43899,23,1,5,-1,-2,2,1,,,Dorset
United Kingdom,Bath and North East Somerset,43900,24,-3,2,-1,2,3,1,,,East Riding of Yorkshire
United Kingdom,Bath and North East Somerset,43901,25,2,6,20,0,3,1,,,East Sussex
United Kingdom,Bath and North East Somerset,43902,26,-2,11,-3,0,3,1,,,Edinburgh
United Kingdom,Bath and North East Somerset,43903,27,-2,11,12,-3,0,3,,,Essex
United Kingdom,Bath and North East Somerset,43904,28,-2,13,-4,-4,4,2,,,Gloucestershire
United Kingdom,Bath and North East Somerset,43905,29,-11,8,18,18,-12,,,,Greater London
United Kingdom,Bath and North East Somerset,43906,30,-6,21,36,-8,-7,4,,,Greater Manchester
United Kingdom,Bath and North East Somerset,43907,31,-22,24,1,-24,-16,8,,,Hampshire
United Kingdom,Bath and North East Somerset,43908,32,-35,16,0,-40,-30,13,,,Hartlepool
United Kingdom,Bath and North East Somerset,43909,33,-40,21,-17,-45,-35,15,,,Herefordshire
United Kingdom,Bath and North East Somerset,43910,34,-47,5,-9,-47,-38,16,,,Hertfordshire
United Kingdom,Bath and North East Somerset,43911,35,-66,-1,-17,-49,-32,,,,Isle of Wight
United Kingdom,Bath and North East Somerset,43912,36,-69,-17,9,-45,-44,,,,Kent
United Kingdom,Bath and North East Somerset,43913,37,-60,-13,3,-56,-55,19,,,Kingston upon Hull
United Kingdom,Bath and North East Somerset,43914,38,-79,-33,-20,-70,-67,25,,,Lancashire
United Kingdom,Bath and North East Somerset,43915,39,-82,-31,-16,-73,-72,29,,,Leicester
United Kingdom,Bath and North East Somerset,43916,40,-83,-32,-18,-72,-74,29,,,Leicestershire
United Kingdom,Bath and North East Somerset,43917,41,-86,-35,-38,-74,-73,30,,,Lincolnshire
United Kingdom,Bath and North East Somerset,43918,42,-91,-44,-69,-75,-64,,,,Luton
United Kingdom,Bath and North East Somerset,43919,43,-91,-48,-54,-75,-66,,,,Medway
United Kingdom,Bath and North East Somerset,43920,44,-85,-40,-45,-76,-75,29,,,Merseyside
United Kingdom,Bath and North East Somerset,43921,45,-83,-37,-24,-73,-76,28,,,Middlesbrough
United Kingdom,Bath and North East Somerset,43922,46,-86,-39,-34,-77,-75,30,,,Milton Keynes
United Kingdom,Bath and North East Somerset,43923,47,-85,-37,-32,-77,-75,30,,,"Newry, Mourne and Down"
United Kingdom,Bath and North East Somerset,43924,48,-86,-37,-32,-75,-74,31,,,Norfolk
United Kingdom,Bath and North East Somerset,43925,49,-91,-44,-56,-75,-63,,,,North Ayrshire Council
United Kingdom,Bath and North East Somerset,43926,50,-90,-47,-37,-71,-64,,,,North East Lincolnshire
United Kingdom,Bath and North East Somerset,43927,51,-84,-41,-29,-76,-76,28,,,North Lincolnshire
United Kingdom,Bath and North East Somerset,43928,52,-84,-38,-14,-73,-76,28,,,North Somerset
United Kingdom,Bath and North East Somerset,43929,53,-85,-35,-23,-74,-76,29,,,North Yorkshire
United Kingdom,Bath and North East Somerset,43930,54,-83,-26,-13,-71,-76,29,,,Northamptonshire
