Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,Bristol City,Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Borough of Halton,Hampshire,Hartlepool,Herefordshire,Hertfordshire,Isle of Wight,Kent,Kingston upon Hull,Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
-10,-4,-7,-4,-7,-10,-8,-8,-7,-5,-6,-7,-3,-7,-7,-5,-5,-9,-6,-8,-3,-7,-8,-3,-7,-1,-8,-5,-2,-5,-3,-7,-6,-6,-5,-5,0,-6,-7,-3,-3,-6,-7,-7,-4,1,-5,-7,-5,-6,-10,-7,-10,-5,-6,4,-9,8,-6,-6,-6,-2,-5,-7,-4,-5,-6,-7,-8,-7,-10,-8,-7,-5,-7,-5,-6,-6
-3,-6,-3,0,-14,-5,-12,-9,-7,-4,-3,1,-2,2,-4,-7,-5,-6,-7,-6,-12,-12,-4,-5,-9,-3,-9,-9,-1,-13,-5,-3,-5,-7,-7,-7,-8,-2,-4,-7,-4,-6,-6,0,-3,0,-4,-5,-5,-7,-6,-12,-4,-6,-2,6,-6,2,-5,-3,-3,-8,-9,-4,-9,-4,-5,-13,-7,-6,-2,-11,-4,-3,-7,-4,-6,-3
2,2,0,1,0,-1,-1,0,0,-2,0,9,-1,6,-5,-2,0,7,7,-1,0,-1,3,-2,2,4,2,2,12,0,0,-1,1,0,0,0,6,-4,1,3,-2,-4,2,4,1,2,1,0,4,-1,5,2,-2,2,5,11,-1,14,2,-2,-1,2,2,-2,5,0,1,3,1,2,4,4,-2,-1,-1,-2,-2,-1
1,-3,-1,-2,-3,0,-4,-3,0,-1,-1,8,1,6,-5,-3,-1,6,4,-1,-1,-4,1,1,-1,-1,2,-1,5,-2,-1,-1,-4,-1,-1,-2,2,-7,-1,2,-2,-3,3,3,0,2,-4,-3,1,-4,-3,2,-1,2,4,11,-2,12,-1,-3,0,1,0,-3,-2,-3,-3,-2,-1,-1,3,-2,-2,-2,-3,-4,-3,-1
0,1,-3,-7,-2,-3,-4,-4,-3,-4,0,7,-1,-1,-5,-4,-3,5,3,-2,1,-3,0,-5,-1,4,1,-3,6,-2,-3,-4,-5,-3,-2,-6,1,-2,-3,1,0,-7,-1,3,-1,-2,-2,-3,0,-5,-1,1,-2,2,2,9,-3,11,-2,-2,-5,0,-1,-3,0,-3,-3,-1,-1,1,1,-3,-5,-2,-4,-4,-3,-4
2,0,-2,0,-2,-1,-5,-5,-3,-3,-2,8,-2,2,0,-3,-3,5,3,-1,0,-4,1,0,-1,1,-1,-3,4,-4,-1,-2,-3,-2,0,-7,0,-2,-1,0,-2,-6,2,1,0,2,-2,-3,0,-6,1,-2,-2,3,4,4,-6,9,-1,0,-4,0,-2,-3,-1,-4,-1,-3,-2,0,2,-4,-3,-3,-2,-5,-3,-2
-1,2,-6,-1,-1,-1,-4,-2,0,-2,-3,4,-1,-2,-4,-1,-1,5,3,-1,1,-2,-2,-1,1,1,-2,0,5,-1,0,-4,-3,2,-1,-5,7,0,-4,3,-1,-5,0,1,0,0,1,1,3,-4,1,1,-4,0,3,-1,-6,13,1,1,0,2,-1,1,4,-3,1,0,1,-1,3,-1,-6,0,-1,-1,-5,-2
-1,0,0,0,-1,-5,-5,-5,-3,-1,-2,2,-2,-1,-4,-1,-1,3,1,-2,-2,-3,-1,0,-2,2,-1,0,3,-3,0,-2,-3,-1,-1,-1,5,-2,-6,0,0,-1,-3,-1,0,0,-2,-1,1,-3,-1,-2,-4,-3,1,-3,-4,12,0,-1,-2,0,-2,-1,1,-2,3,-3,1,-1,-2,-3,-4,-1,-2,-2,-3,-1
1,2,1,1,-3,-1,-4,-5,-3,1,-3,0,0,0,-6,0,-2,0,0,0,-2,-5,-3,-1,-2,1,-3,-2,3,-5,1,-2,-4,0,-3,-3,3,1,-6,-3,0,-1,-2,-1,1,0,-1,0,0,-3,-3,-5,-3,-2,0,-2,-4,12,0,-2,-1,-2,-2,-1,0,-6,-2,-4,0,-2,1,-3,-4,0,-3,-3,-2,-3
0,1,-1,-2,-4,-3,-2,-2,-1,-1,0,1,-5,-3,-5,-1,-1,2,1,-4,-1,-2,-1,-2,-1,0,2,0,-1,-2,-3,-1,-4,0,-1,-1,6,-1,-2,-2,1,-3,-2,-4,0,-2,-1,-1,2,-3,0,-2,-3,-1,1,-1,-6,9,2,-2,0,-1,1,0,2,0,0,-1,0,0,0,0,-3,0,-1,-5,-4,-1
2,4,8,3,5,4,4,4,6,4,8,6,11,8,7,8,8,7,6,5,5,3,4,9,4,9,7,7,6,4,3,6,0,6,5,3,11,8,0,6,5,3,5,8,5,8,7,6,6,7,3,6,6,4,5,5,-1,12,8,9,7,4,7,6,5,2,4,3,5,5,7,2,2,5,2,4,3,6
0,-1,0,-2,1,-2,-1,-2,0,0,0,-1,1,-1,-2,0,-1,3,1,-2,2,-2,0,0,-1,2,2,1,1,-1,-1,-1,-3,0,-2,-2,6,-3,-1,1,0,-1,-1,2,1,2,0,0,1,-1,0,0,0,-1,1,-1,-6,8,0,0,-4,-1,1,1,1,-2,0,-1,-1,1,-3,0,-4,-1,0,-1,-1,0
3,2,2,-1,2,4,-1,-2,1,3,1,3,2,3,1,2,2,5,3,3,2,-2,1,3,2,3,3,0,4,-1,5,1,0,2,1,1,7,1,-4,0,-1,1,3,3,2,4,3,2,1,0,3,1,1,2,2,8,-6,11,3,5,1,0,1,1,3,-1,4,2,3,2,1,-1,-1,1,1,1,1,2
0,3,3,1,-5,1,-1,-3,2,1,2,2,-2,2,1,2,0,4,2,0,-1,-1,0,4,2,6,1,2,2,0,2,2,-5,2,-1,1,9,3,-2,-1,1,-2,1,2,1,4,2,0,3,-3,1,0,1,4,6,12,-4,14,3,8,3,0,3,-1,5,1,3,0,3,1,2,-1,-3,2,0,2,0,2
3,2,0,1,0,1,1,-2,0,2,2,3,-4,1,5,3,2,4,3,1,2,-1,3,2,2,4,4,5,6,-1,5,0,2,4,2,7,7,4,-1,3,2,1,2,2,3,3,3,3,4,1,2,2,2,0,5,14,-2,11,1,4,0,3,1,1,6,1,8,1,3,3,-2,0,-1,3,2,2,0,1
6,4,8,4,2,4,2,-1,1,6,2,2,-5,2,2,5,3,2,5,5,3,0,3,6,3,2,4,4,5,1,6,2,3,4,2,2,11,-3,0,1,2,-2,2,2,4,3,5,3,4,4,2,2,-1,2,6,13,1,18,4,3,5,3,4,1,5,7,2,3,4,4,0,4,-1,5,1,-1,1,3
3,5,3,2,4,3,5,2,4,3,4,5,-2,4,1,4,3,7,6,3,6,2,5,5,5,5,4,5,9,3,4,3,4,3,3,5,11,4,2,3,2,-1,6,4,3,5,5,3,6,1,7,4,3,4,4,15,-1,14,5,4,3,3,6,3,7,1,5,5,6,4,5,6,0,3,3,2,2,3
3,4,0,3,3,4,4,0,5,3,4,5,1,5,2,4,4,5,4,3,3,-1,1,3,4,8,3,5,3,2,3,4,1,4,1,4,8,0,-1,2,3,-2,7,5,3,3,4,3,5,2,3,2,3,4,4,3,-3,15,4,6,3,1,5,4,2,2,4,3,3,4,2,2,1,2,2,1,2,3
0,4,6,4,-1,0,5,1,6,6,7,4,4,6,1,5,4,5,3,5,3,0,2,4,3,6,4,5,3,3,4,5,2,5,4,5,7,3,0,4,5,3,4,6,4,6,5,5,4,2,3,1,6,3,4,2,-2,19,5,6,5,3,5,2,5,3,5,1,1,3,4,1,3,5,3,4,4,5
7,4,1,2,-5,4,3,1,3,7,6,7,2,7,2,2,4,7,3,7,-3,-5,5,3,2,7,5,1,2,-3,6,5,1,4,4,-2,1,3,1,4,3,1,4,6,4,9,4,5,4,3,5,-4,6,4,6,-3,-4,7,6,10,6,2,0,5,4,2,6,-2,3,5,3,-5,3,2,5,3,4,6
