Bath and North East Somerset,Bedford,Blackburn with Darwen,Blackpool,Brighton and Hove,"Bristol, City of",Buckinghamshire,Cambridgeshire,Central Bedfordshire,Cheshire East,Cheshire West and Chester,Cornwall and Isles of Scilly,County Durham,Cumbria,Darlington,Derby,Derbyshire,Devon,Dorset,East Riding of Yorkshire,East Sussex,Essex,Gloucestershire,Halton,Hampshire,Hartlepool,"Herefordshire, County of",Hertfordshire,Isle of Wight,Kent,"Kingston upon Hull, City of",Lancashire,Leicester,Leicestershire,Lincolnshire,Luton,Medway,Middlesbrough,Milton Keynes,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Yorkshire,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redcar and Cleveland,Shropshire,Somerset,South Gloucestershire,Southampton,Southend-on-Sea,Staffordshire,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Surrey,Swindon,Thurrock,Warrington,Warwickshire,West Sussex,Wiltshire,Worcestershire,York,GREATER LONDON,GREATER manchester,South Yorkshire,West Midlands,Tyne and Wear,West Yorkshire,Merseyside
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067150644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120740283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371116727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035264835,0,0.034146102,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084067594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173030438,0,0,0,0,0.022316475,0,0,0,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011158237,0,0,0.034146102,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063228911,0,0,0,0,0,0,0,0,0,0.110161276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173030438,0,0.1999904,0,0,0.033474712,0.035264835,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120740283,0,0,0,0,0,0,0,0,0,0,0.11369321,0,0,0,0,0,0,0,0,0,0,0,0,0.055791187,0,0.070971313,0.102438305,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0,0.291484853,0,0,0,0,0,0,0,0,0,0,0.067150644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120740283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083595545,0,0,0,0.173030438,0,0,0,0,0.066949424,0.070529671,0,0.068292203,0,0,0
0,0,0,0,0,0,0,0,0,0.260313626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072330533,0,0,0,0,0,0,0,0,0.141611969,0,0,0,0,0.371116727,0,0,0,0.465003813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083595545,0,0,0,0,0,0,0,0,0.111582373,0.035264835,0,0.068292203,0,0,0
0,0,0,0,0,0,0.183832653,0,0,0.520627252,0,0,0,0,0,0,0,0.124630005,0,0,0,0.067150644,0,0,0.144661066,0,0,0,0,0,0,0,0,0,0,0.46936898,0,0,0.371116727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396008237,0,0,0.506719095,0,0,0.083595545,0,0,0,0.173030438,0,0,0,0,0.089265898,0.035264835,0,0.068292203,0,0.042873024,0.069934471
0,0,0,0,0,0,0.183832653,0,0,0,0,0,0,0,0,0,0.124580475,0,0,0,0,0.134301287,0,0,0.072330533,0,0,0,0,0,0,0,0,0.141611969,0,0,0,0,0,0,0,0,0,0.16179816,0.265506227,0,0,0,0.144578244,0,0,0.465321886,0,0,0,0,0,0,0,0,0,0,0.250786634,0,0,0,0,0,0,0,0,0.16737356,0.070529671,0,0.307314914,0,0.042873024,0
0,0,0,0,0,0,0.183832653,0,0,0.260313626,0.291484853,0.175568579,0,0,0,0,0,0.124630005,0,0,0.179459432,0.067150644,0,0,0,0,0,0,0,0.063228911,0,0,0,0,0,0,0,0,0,0.110161276,0,0,0,0,0,0,0,0,0,0,0,0.465321886,0,0,0,0,0.396008237,0,0.11369321,0,0,0,0.083595545,0,0,0,0,0.11574342,0,0,0,0.234322983,0.070529671,0.070971313,0.273168813,0,0.042873024,0
0,0,0,0,0,0,0.183832653,0,0,0,0,0.351137158,0,0,0,0,0,0,0,0,0,0.134301287,0,0,0.144661066,0,0.518669509,0,0,0.063228911,0,0.08198072,0,0.141611969,0,0,0,0,0.742233455,0.110161276,0,0,0,0.16179816,0,0.31014099,0,0.241480566,0.144578244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083595545,0,0,0,0.173030438,0,0.1999904,0,0,0.29011417,0.176324177,0,0.239022711,0,0,0.069934471
0,0,0,0,0.343778469,0,0.183832653,0,0.346442726,0,0,0.175568579,0,0.5999856,0,0,0,0,0,0.29310643,0,0,0.156968622,0.77273781,0,0,0,0.168135187,0,0.063228911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120740283,0,0,0,0,0,0.309467221,0,0,0,0,0,0,0,0.131345636,0.167191089,0,0,0,0.173030438,0.11574342,0.1999904,0,0,0.267797695,0.176324177,0,0.307314914,0.087606409,0,0.069934471
0,0,0,0,0,0,0.183832653,0,0,0.260313626,0,0,0.377291575,0.1999952,0,0.777296717,0.24916095,0,0,0,0.179459432,0.067150644,0,0,0.144661066,1.067657453,0,0,0,0.063228911,0,0.08198072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289156487,0,0,0.930643773,0,0,0,0.350762734,0,0,0.341079631,0,0,0.131345636,0.167191089,0,0,0,0.346060876,0.11574342,0,0.671382006,0,0.479804204,0.176324177,0.141942627,0.341461016,0,0,0.139868943
1.034757505,0,0,0,0.343778469,0.215806999,0,0.30602705,0,0,0,0.526705737,0,0.3999904,0,0,0,0,0.264195209,0,0,0.134301287,0.156968622,0,0.144661066,1.067657453,0,0.252202781,0,0.126457822,0,0,0.282307241,0,0,0.46936898,0.358994242,0,0.371116727,0,0,0,0,0,0,0,0.300390508,0,0,0.494415576,0,0.465321886,0,0,0,0,0,0,0,0,0,0,0.417977723,0,0,0,0.519091313,0,0,0.335691003,0,0.502120679,0.246853848,0.070971313,0.307314914,0.175212818,0.042873024,0.279737886
